"id","name"
4733,"Applicationmobile"
5,"Négociation"
358,"Asymétrie"
1049,"Défis"
27,"Ambiance"
55,"DeckBuilding"
32,"Workers"
135,"Course"
28,"Draft"
434,"Calcul"
872,"Magnétique"
57,"Narrativisme"
25,"Collection"
5027,"Imitation"
115,"Solitaire"
40,"Dés"
137,"Développement"
267,"Pointsdaction"
36,"Actions"
12,"Placement"
1353,"Couleurs"
98,"Livraison"
311,"Improvisation"
159,"Commerce"
66,"Évolutif"
2511,"Olfactif"
97,"Tuiles"
62,"Bluff"
47,"Ressources"
2339,"Tactile"
83,"Modulable"
26,"Risque"
21,"Coopératif"
4,"Affrontement"
142,"DrawandWrite"
13,"Déduction"
3158,"Vocabulaire"
882,"Simulation"
754,"Lettres"
901,"Legacy"
1934,"Intrigue"
158,"Échanges"
128,"Dextérité"
73,"Coordination"
1177,"CardDriven"
31,"Gestion"
576,"Plis"
112,"Construction"
22,"Cartes"
39,"Simultanéité"
1970,"Blocs"
41,"Programmation"
179,"Rôles"
450,"Logique"
202,"Équipe"
6,"Combinaison"
265,"Parcours"
16,"Observation"
404,"Gages"
1723,"Tempsréel"
7,"Pouvoirs"
15,"Rapidité"
233,"Wargame"
3985,"Orientation"
245,"Connaissance"
23,"Exploration"
793,"Mime"
94,"Puzzles"
71,"Énigme"
24,"Enchères"
215,"Connexion"
77,"RollandWrite"
432,"Réflexes"
59,"Mémoire"
295,"Paris"
81,"Créativité"
155,"Stopouencore"
601,"Placementdouvriers"
85,"Communication"
214,"Objectifssecrets"
3,"Casse-tête"
284,"Adresse"
409,"Hasard"
14,"Scénario"
504,"Expression"
974,"Votes"
1,"EscapeGame"
10,"Majorité"
108,"Figurines"
34,"Classement"
850,"Défausse"
448,"Conquête"
1330,"Echec"
2170,"Trains"
